scarf шарф
i я
would б
one один
me мені
could міг
more більше
more більше
only тільки
woman жінка
should повинен
ask запитай
high високий
put покласти
same той же
problem проблема
place місце
system система
government уряд
point точка
all все
national національний
book книга
head голова
long довго
power влада
stand стояти
almost майже
white білий
idea ідея
whether чи то
anything нічого
office офіс
party вечірка
win виграти
teacher вчитель
second другий
process процес
serve служити
oh ой
behind позаду
class клас
pass пройти
role роль
drug наркотик
pull тягнути
son син
arm рука
building будівля
early рано
space простір
couple пара
court суд
industry промисловість
quite цілком
wall стіна
open відчинено
attention увага
cause причина
culture культура
hundred сто
place місце
material матеріал
thousand тисяча
security безпека
officer офіцер
goal мета
plan план
reduce зменшити
share поділитися
hot гарячий
article стаття
career кар'єра
lie брешуть
list список
left залишилося
particularly особливо
attack атака
election вибори
arrive прибути
glass скло
ok добре
gun пістолет
truth правда
rather швидше
design дизайн
sound звук
green зелений
that це
tonight сьогодні ввечері
respond відповісти
employee працівник
wide широкий
structure структура
treat лікувати
worry турбуватися
writer письменник
dream мрія
somebody хтось
fall падати
agent агента
test тест
investment інвестиції
civil цивільний
mouth рот
score оцінка
relate відносяться
senior старший
speech мова
global глобальний
release випуск
version версія
hurt боляче
plane літак
perfect досконалий
vote голосувати
spirit дух
brain мозок
battle битва
stick палиця
ship корабель
park парк
truck вантажівка
refuse відмовитися
club клуб
shape форма
band гурт
demand попит
facility об'єкт
basis основи
feed годувати
river річка
ear вухо
gather зібрати
aspect аспект
mean означає
measure міра
engage займатися
youth молодь
apparently мабуть
intelligence розвідка
context контекст
dress плаття
average середній
dangerous небезпечний
internet інтернет
finding знахідка
famous знаменитий
cut вирізати
circle коло
train поїзд
hate ненавидіти
intend маєте намір
danger небезпека
northern північний
climb підйом
ticket квиток
lunch обід
enemy ворог
impossible неможливо
commitment зобов'язання
consequence наслідок
connect підключити
regional регіональний
theme тема
yellow жовтий
regulation регулювання
appearance зовнішній вигляд
anymore більше
but але
muscle м'язи
cash готівка
content зміст
setting налаштування
duty обов'язок
slow повільний
shirt сорочка
snow сніг
soil грунт
golf гольф
governor губернатор
golden золотий
long довго
trust довіра
confirm підтвердити
issue проблема
debt борг
file файл
now зараз
clean чистий
totally повністю
rest відпочинок
aim мета
overall в цілому
league ліга
tie краватка
apart окремо
beside поруч
definitely безумовно
invest інвестувати
solid твердий
either або
talent талант
height висота
creative креативний
live жити
weak слабкий
passenger пасажирський
lab лабораторія
journalist журналіст
permit дозвіл
dramatic драматичний
airline авіакомпанія
initiative ініціатива
post пост
violent насильницький
layer шар
portion порція
display дисплей
shall повинен
print друкувати
atmosphere атмосфера
discovery відкриття
grand великий
coat пальто
online онлайн
jacket куртка
substance речовина
gene ген
employer роботодавець
competitive конкурентоспроможний
another інший
coach тренер
spending витрати
emphasis акцент
digital цифровий
increasing збільшується
twin близнюк
so-called так званий
light світло
block блок
confront протистояти
personnel персонал
perfectly чудово
watch дивитися
salary зарплата
plant рослина
assist допомагати
occasionally іноді
grandmother бабуся
install встановити
concert концерт
roll рулон
speaker динамік
pop поп
depth глибина
pack упаковка
dealer дилер
routine рутина
activist активіст
valuable цінний
developing розвивається
extraordinary незвичайний
clock годинник
button кнопка
portrait портрет
burden тягар
lost загублений
destruction руйнування
apple яблуко
dispute суперечка
initially спочатку
retain зберегти
expansion розширення
solar сонячний
strip смуга
balance баланс
guarantee гарантія
awareness усвідомлення
dialogue діалог
delivery доставка
relevant релевантний
partly частково
justify виправдати
lie брешуть
originally спочатку
external зовнішній
shelter притулок
net нетто
target ціль
introduction введення
steady стійкий
nowhere ніде
correspondent кореспондент
mm-hmm мм-хмм
buyer покупець
stability стабільність
psychology психологія
slight незначний
store магазин
briefly коротко
besides крім того
preference перевага
ski лижний спорт
porch ганок
scandal скандал
contest конкурс
publisher видавець
tennis теніс
rate курс
catholic католик
curious цікаво
taxpayer платник податків
laboratory лабораторія
demonstration демонстрація
cabin кабіна
manufacturing виробництво
boom бум
sense сенс
extension розширення
cluster кластер
operator оператор
weekly щотижня
seize захопити
frustration розчарування
correct правильно
powder порошок
cooking приготування їжі
rhythm ритм
transformation трансформація
intensity інтенсивність
concrete бетон
recording запис
reinforce підкріпити
criminal кримінальний
sigh зітхає
lap коліна
